entry_date,exit_date,position,entry_price,exit_price,position_size,pnl,balance,return_pct,close_reason
4312,4313,long,1728.36,1743.06,57.858316554421535,850.5172533499992,1350.5172533499992,170.10345066999986,signal_change
4313,4316,short,1743.06,1743.46,154.95935347607076,-61.9837413904424,1288.5335119595568,-12.396748278088479,signal_change
4316,4317,long,1743.46,1732.34,147.81337248454875,-1643.6847020281996,-355.1511900686428,-328.73694040563987,signal_change
4317,4320,short,1732.34,1763.5,-41.002481045134644,1277.6373093663988,922.486119297756,255.52746187327978,signal_change
4320,4321,long,1763.5,1776.67,104.61991713045148,1377.8443086080536,2300.3304279058093,275.56886172161074,signal_change
4321,4324,short,1776.67,1793.92,258.94853044243547,-4466.862150132012,-2166.531722226203,-893.3724300264025,signal_change
4324,4325,long,1793.92,1784.36,-241.5416208332816,2309.1378951662136,142.60617294001077,461.8275790332428,signal_change
4325,4326,short,1784.36,1776.48,15.98401364522975,125.95402752440853,268.56020046441927,25.19080550488171,signal_change
4326,4327,long,1776.48,1781.39,30.23509417099199,148.45431237957314,417.0145128439924,29.690862475914624,signal_change
4327,4330,short,1781.39,1772.28,46.81900233458057,426.52111126803493,843.5356241120273,85.30422225360698,signal_change
4330,4331,long,1772.28,1768.97,95.19213940370904,-315.0859814262717,528.4496426857556,-63.01719628525434,signal_change
4331,4332,short,1768.97,1793.04,59.74659182301063,-1438.100465179862,-909.6508224941065,-287.62009303597245,signal_change
4332,4334,long,1793.04,1787.66,-101.46464356557651,545.8797823827896,-363.7710401113169,109.17595647655791,signal_change
4334,4335,short,1787.66,1815.22,-40.69801193865913,1121.6372090294433,757.8661689181264,224.32744180588867,signal_change
4335,4336,long,1815.22,1830.85,83.50130220228141,1305.1253534216485,2062.9915223397747,261.0250706843297,signal_change
4336,4339,short,1830.85,1816.11,225.3588794647049,3321.7898833097524,5384.781405649527,664.3579766619505,signal_change
4339,4340,long,1816.11,1826.93,593.001680035849,6416.278177987982,11801.05958363751,1283.2556355975964,signal_change
4340,4342,short,1826.93,1866.65,1291.900574585508,-51314.29082253641,-39513.231238898894,-10262.85816450728,stop_loss
4343,4349,short,1869.64,1896.5,-4226.827757097505,113532.59355563857,74019.36231673967,22706.518711127716,signal_change
4349,4351,long,1896.5,1903.18,7805.8910958860715,52143.35252051945,126162.71483725912,10428.67050410389,signal_change
4351,4353,short,1903.18,1899.87,13258.095906562607,43884.297450724516,170047.01228798364,8776.859490144903,signal_change
4353,4354,long,1899.87,1908.66,17900.91030312428,157349.00156446584,327396.0138524495,31469.80031289317,signal_change
4354,4355,short,1908.66,1870.7,34306.373461218805,1302269.936587867,1629665.9504403165,260453.9873175734,signal_change
4355,4356,long,1870.7,1891.51,174230.60356447496,3625738.8601767146,5255404.8106170315,725147.772035343,signal_change
4356,4358,short,1891.51,1893.06,555683.534384384,-861309.47829577,4394095.332321262,-172261.895659154,signal_change
4358,4359,long,1893.06,1888.89,464232.01930432866,-1935847.5204989787,2458247.811822283,-387169.5040997957,signal_change
4359,4360,short,1888.89,1899.64,260284.90931947154,-2798062.775184319,-339814.9633620358,-559612.5550368638,signal_change
4360,4361,long,1899.64,1876.16,-35776.7749007218,840038.6746689485,500223.7113069127,168007.7349337897,signal_change
4361,4362,short,1876.16,1866.31,53324.20596398097,525243.4287452198,1025467.1400521325,105048.68574904397,signal_change
4362,4363,long,1866.31,1858.89,109892.47660379387,-815402.1764001335,210064.96365199902,-163080.4352800267,signal_change
4363,4364,short,1858.89,1810.21,22601.11826434044,1100222.437108094,1310287.4007600932,220044.4874216188,signal_change
4364,4365,long,1810.21,1772.78,144766.34211059415,-5418604.1851995485,-4108316.7844394553,-1083720.8370399098,stop_loss
4366,4367,long,1764.52,1783.25,-465658.2849091487,-8721779.676348364,-12830096.46078782,-1744355.935269673,signal_change
4367,4369,short,1783.25,1778.4,-1438956.5636660953,-6978939.333780431,-19809035.79456825,-1395787.8667560862,signal_change
4369,4372,long,1778.4,1779.03,-2227736.8190022777,-1403474.1959711716,-21212509.990539424,-280694.83919423434,signal_change
4372,4373,short,1779.03,1761.08,-2384727.6314103105,-42805860.983815186,-64018370.97435461,-8561172.196763037,signal_change
4373,4374,long,1761.08,1769.65,-7270353.530146798,-62306929.75335925,-126325300.72771385,-12461385.95067185,signal_change
4374,4375,short,1769.65,1776.52,-14276868.389536219,98082085.83611226,-28243214.891601592,19616417.167222455,signal_change
4375,4376,long,1776.52,1787.33,-3179611.2502647415,-34371597.61536168,-62614812.506963275,-6874319.523072338,signal_change
4376,4383,short,1787.33,1807.14,-7006519.501934537,138799151.33332437,76184338.82636109,27759830.266664878,signal_change
4383,4385,long,1807.14,1829.45,8431481.659014918,188106355.81262237,264290694.63898346,37621271.16252448,signal_change
4385,4388,short,1829.45,1810.24,28892912.58454546,555032850.7491193,819323545.3881028,111006570.14982386,signal_change
4388,4389,long,1810.24,1803.42,90520985.65804565,-617353122.1878656,201970423.20023715,-123470624.43757313,signal_change
4389,4401,short,1803.42,1763.18,22398600.79185516,901319695.8642519,1103290119.064489,180263939.17285037,signal_change
4401,4402,long,1763.18,1729.58,125147757.92199194,-4204964666.1789465,-3101674547.1144576,-840992933.2357893,signal_change
4402,4403,short,1729.58,1728.74,-358662166.2038712,-301276219.61122245,-3402950766.72568,-60255243.92224449,signal_change
4403,4405,long,1728.74,1752.86,-393691447.72790354,-9495837719.196991,-12898788485.92267,-1899167543.839398,signal_change
4405,4412,short,1752.86,1805.18,-1471742008.5942597,77001541889.65192,64102753403.72925,15400308377.930382,stop_loss
4413,4423,short,1802.83,1793.92,7111347537.341763,63362106557.71407,127464859961.44333,12672421311.542814,signal_change
4423,4425,long,1793.92,1794.36,14210763017.463802,6252735727.681618,133717595689.12494,1250547145.5363235,signal_change
4425,4426,short,1794.36,1787.81,14904210491.665546,97622578720.40865,231340174409.53357,19524515744.08173,signal_change
4426,4427,long,1787.81,1793.37,25879727086.159443,143891282599.0451,375231457008.5787,28778256519.80902,signal_change
4427,4430,short,1793.37,1752.72,41846518789.60602,1701060988797.479,2076292445806.0576,340212197759.4958,signal_change
4430,4432,long,1752.72,1764.82,236922320257.2068,2866760075112.1807,4943052520918.238,573352015022.4362,signal_change
4432,4434,short,1764.82,1767.99,560176394297.2358,-1775759169922.2783,3167293350995.96,-355151833984.4557,signal_change
4434,4438,long,1767.99,1733.53,358293129598.6923,-12346781245970.951,-9179487894974.992,-2469356249194.1904,signal_change
4438,4439,short,1733.53,1726.46,-1059051518574.8147,-7487494236323.872,-16666982131298.863,-1497498847264.7744,signal_change
4439,4441,long,1726.46,1760.15,-1930769566778.131,-65047626704755.34,-81714608836054.2,-13009525340951.068,signal_change
4441,4442,short,1760.15,1769.35,-9284959672306.814,85421628985221.0,3707020149166.797,17084325797044.2,signal_change
4442,4443,long,1769.35,1759.87,419026212921.8975,-3972368498499.596,-265348349332.79932,-794473699699.9192,signal_change
4443,4444,short,1759.87,1762.87,-30155448906.20322,90466346718.60966,-174882002614.18964,18093269343.72193,signal_change
4444,4445,long,1762.87,1754.91,-19840601134.988926,157931185034.50806,-16950817579.68158,31586237006.90161,signal_change
4445,4448,short,1754.91,1760.19,-1931816170.5935438,10199989380.733858,-6750828198.9477215,2039997876.1467717,signal_change
4448,4450,long,1760.19,1795.92,-767056760.7982912,-27406938063.32296,-34157766262.270683,-5481387612.664593,signal_change
4450,4451,short,1795.92,1767.42,-3803929602.907778,-108411993682.87167,-142569759945.14236,-21682398736.574333,signal_change
4451,4452,long,1767.42,1764.53,-16133093429.421682,46624640011.03027,-95945119934.11209,9324928002.206055,signal_change
4452,4456,short,1764.53,1792.67,-10874864120.656729,306018676355.28143,210073556421.16934,61203735271.05628,signal_change
4456,4457,long,1792.67,1807.43,23436946724.29051,345929333650.5277,556002890071.697,69185866730.10555,signal_change
4457,4458,short,1807.43,1793.0,61524140915.18864,887793353406.1759,1443796243477.873,177558670681.23517,signal_change
4458,4459,long,1793.0,1796.89,161048103009.24408,626477120705.9756,2070273364183.8486,125295424141.1951,signal_change
4459,4461,short,1796.89,1782.98,230428503045.1334,3205260477357.824,5275533841541.673,641052095471.5648,signal_change
4461,4462,long,1782.98,1793.2,591765902202.1193,6047847520505.675,11323381362047.348,1209569504101.1348,signal_change
4462,4464,short,1793.2,1769.89,1262924532907.3552,29438770862070.383,40762152224117.734,5887754172414.076,signal_change
4464,4465,long,1769.89,1791.71,4606179166402.176,100506829410895.19,141268981635012.94,20101365882179.04,signal_change
4465,4466,short,1791.71,1817.84,15769179346547.48,-412048656325283.8,-270779674690270.88,-82409731265056.77,signal_change
4466,4467,long,1817.84,1824.14,-29791364992548.4,-187685599453060.34,-458465274143331.25,-37537119890612.07,signal_change
4467,4469,short,1824.14,1848.97,-50266456976255.25,1248116126720414.2,789650852577083.0,249623225344082.88,signal_change
4469,4470,long,1848.97,1861.77,85415215236275.66,1093314755024324.5,1882965607601407.5,218662951004864.9,signal_change
4470,4476,short,1861.77,1845.7,202276930834787.03,3250590278515014.5,5133555886116422.0,650118055703002.9,signal_change
4476,4477,long,1845.7,1804.77,556271971188862.94,-2.2768211780760196e+16,-1.7634655894643774e+16,-4553642356152039.0,stop_loss
4478,4479,short,1789.28,1788.64,-1971145476911805.2,-1261533105223304.5,-1.889618899986708e+16,-252306621044660.88,signal_change
4479,4480,long,1788.64,1788.42,-2112911373989967.8,464840502277850.56,-1.8431348497589228e+16,92968100455570.12,signal_change
4480,4482,short,1788.42,1784.96,-2061187919793921.8,-7131710202487044.0,-2.556305870007627e+16,-1426342040497408.8,signal_change
4482,4486,long,1784.96,1783.88,-2864272443088503.0,3093414238535375.0,-2.2469644461540896e+16,618682847707075.0,signal_change
4486,4489,short,1783.88,1782.49,-2519187889492667.0,-3501671166395059.0,-2.5971315627935956e+16,-700334233279011.9,signal_change
4489,4490,long,1782.49,1775.13,-2914048957125813.0,2.1447400324445692e+16,-4523915303490264.0,4289480064889138.5,signal_change
4490,4494,short,1775.13,1777.09,-509699605492585.25,999011226765369.8,-3524904076724894.0,199802245353073.94,signal_change
4494,4497,long,1777.09,1790.3,-396705183949591.1,-5240475479974113.0,-8765379556699007.0,-1048095095994822.6,signal_change
4497,4498,short,1790.3,1788.63,-979207904451656.9,-1635277200434115.5,-1.0400656757133122e+16,-327055440086823.1,signal_change
4498,4499,long,1788.63,1803.54,-1162974651787471.0,-1.7339952058151024e+16,-2.7740608815284144e+16,-3467990411630204.5,signal_change
4499,4502,short,1803.54,1806.13,-3076239929836227.0,7967461418276276.0,-1.9773147397007868e+16,1593492283655255.2,signal_change
4502,4503,long,1806.13,1803.9,-2189559710209992.2,4882718153768323.0,-1.4890429243239544e+16,976543630753664.6,signal_change
4503,4506,short,1803.9,1801.2,-1650915155301241.0,-4457470919313426.0,-1.934790016255297e+16,-891494183862685.1,signal_change
4506,4507,long,1801.2,1814.36,-2148334461753605.0,-2.827208151667713e+16,-4.76199816792301e+16,-5654416303335426.0,signal_change
4507,4508,short,1814.36,1810.53,-5249231870106274.0,-2.010455806250665e+16,-6.7724539741736744e+16,-4020911612501329.5,signal_change
